state,year,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,NO2,O3,SO2,CO
Michigan,2011,30.63637252325,37.4214857019125,18.538509500125,6.17399333986,16.5051486611125,0.026373188946725,3.31369959917125,0.332613900157875
Michigan,2012,30.63637252325,37.4214857019125,18.538509500125,6.17399333986,16.5051486611125,0.026373188946725,3.31369959917125,0.332613900157875
Michigan,2013,30.63637252325,37.4214857019125,18.538509500125,6.17399333986,16.5051486611125,0.026373188946725,3.31369959917125,0.332613900157875
Michigan,2014,30.63637252325,37.4214857019125,18.538509500125,6.17399333986,16.5051486611125,0.026373188946725,3.31369959917125,0.332613900157875
Michigan,2015,30.63637252325,37.4214857019125,18.538509500125,6.17399333986,16.5051486611125,0.026373188946725,3.31369959917125,0.332613900157875
Michigan,2016,30.63637252325,37.4214857019125,18.538509500125,6.17399333986,16.5051486611125,0.026373188946725,3.31369959917125,0.332613900157875
Minnesota,2000,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2001,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2002,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2003,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2004,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2005,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2006,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2007,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2008,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
Minnesota,2009,15.893299626775,36.328291640225,1.054828729884,3.1854109643425,6.70189932587,0.028499154014275,0.6010940926075,0.22518196924
